"TimeGenerated [UTC]",DeviceName,FileName,SHA256,FolderPath,InitiatingProcessFileName,InitiatingProcessSHA256,InitiatingProcessFolderPath,InitiatingProcessParentFileName,InitiatingProcessCommandLine
"4/9/2025, 7:20:33.733 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",zzyhyknhvv,3e8a36ba68286ba87ac528e935b0b6125a998835de7d2d12e2e4c6ecf30ef5e4,"/usr/bin/zzyhyknhvv",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:20:38.736 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",mrnyhbexmk,c191efd1cc0fc7828fdd0e3bfabbded005356b845ad35077851a8573207a8273,"/usr/bin/mrnyhbexmk",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:21:03.854 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",vjydqqitui,26714d239473f4307b62421e1fcd40ca05df4f66f4cbb08d74de70b447828044,"/usr/bin/vjydqqitui",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:21:03.933 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",vjydqqitui,26714d239473f4307b62421e1fcd40ca05df4f66f4cbb08d74de70b447828044,"/usr/bin/vjydqqitui",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:21:08.933 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",juzaidjwed,a09a94c0cd3a8ef6592b51b4c174efea953a2bc346353ce4deb153abac11166c,"/usr/bin/juzaidjwed",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:21:54.036 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bfposauesc,9a5e303032e71dc3a85fb96211d97593455940b74e3e2ddfccf690401f60af60,"/usr/bin/bfposauesc",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:21:59.040 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",vxlxckvasf,0252b140a724a418f516e0f2946d775a5b2f93fc22f9a5790465d4bb5b8fd30c,"/usr/bin/vxlxckvasf",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:22:14.137 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",sgumrfolqm,dc708d9884f508e454106f1f7d21187acba89405af6c5b15ef312e542ce051fe,"/usr/bin/sgumrfolqm",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:22:19.067 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",exmjtrtpkv,dc0d04da135f30f5b8e63342c5ef9512c8d2fa2f466270bb58fa118726728eb7,"/usr/bin/exmjtrtpkv",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
"4/9/2025, 7:22:19.074 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",exmjtrtpkv,dc0d04da135f30f5b8e63342c5ef9512c8d2fa2f466270bb58fa118726728eb7,"/usr/bin/exmjtrtpkv",ygljglkjgfg0,6ddf688bdf16a1d465aef954ff90b372dacd8162bac2c7797ff7b6b4f20afcbc,"/usr/bin/ygljglkjgfg0",systemd,"""ifconfig eth0""        "
